"VSLR__timestamps","VSLR__prices__High","VSLR__prices__Open","VSLR__prices__Low","VSLR__prices__Close","RUN__timestamps","RUN__prices__High","RUN__prices__Open","RUN__prices__Low","RUN__prices__Close","CSIQ__timestamps","CSIQ__prices__High","CSIQ__prices__Open","CSIQ__prices__Low","CSIQ__prices__Close","PEGI__timestamps","PEGI__prices__High","PEGI__prices__Open","PEGI__prices__Low","PEGI__prices__Close","FSLR__timestamps","FSLR__prices__High","FSLR__prices__Open","FSLR__prices__Low","FSLR__prices__Close","SPWR__timestamps","SPWR__prices__High","SPWR__prices__Open","SPWR__prices__Low","SPWR__prices__Close","JKS__timestamps","JKS__prices__High","JKS__prices__Open","JKS__prices__Low","JKS__prices__Close","ENPH__timestamps","ENPH__prices__High","ENPH__prices__Open","ENPH__prices__Low","ENPH__prices__Close","SEDG__timestamps","SEDG__prices__High","SEDG__prices__Open","SEDG__prices__Low","SEDG__prices__Close","TSLA__timestamps","TSLA__prices__High","TSLA__prices__Open","TSLA__prices__Low","TSLA__prices__Close","AQN__timestamps","AQN__prices__High","AQN__prices__Open","AQN__prices__Low","AQN__prices__Close","DQ__timestamps","DQ__prices__High","DQ__prices__Open","DQ__prices__Low","DQ__prices__Close","AZRE__timestamps","AZRE__prices__High","AZRE__prices__Open","AZRE__prices__Low","AZRE__prices__Close","ASTI__timestamps","ASTI__prices__High","ASTI__prices__Open","ASTI__prices__Low","ASTI__prices__Close","YGEHY__timestamps","YGEHY__prices__High","YGEHY__prices__Open","YGEHY__prices__Low","YGEHY__prices__Close","SUNW__timestamps","SUNW__prices__High","SUNW__prices__Open","SUNW__prices__Low","SUNW__prices__Close","RGSE__timestamps","RGSE__prices__High","RGSE__prices__Open","RGSE__prices__Low","RGSE__prices__Close","EVSI__timestamps","EVSI__prices__High","EVSI__prices__Open","EVSI__prices__Low","EVSI__prices__Close"
"2018-08-29","5.3000001910000005","5.25","5.150000095","5.25","2018-08-29","13.77000046","13.42000008","13.27000046","13.52000046","2018-08-29","15.30000019","14.25","14.19999981","14.80000019","2018-08-29","20.44000053","20.34000015","20.22999954","20.43000031","2018-08-29","53.45000076","52.0","52.0","53.06999969","2018-08-29","7.079999924","6.75","6.670000076","6.96999979","2018-08-29","13.69999981","13.39999962","13.10000038","13.59000015","2018-08-29","5.360000134","4.960000038","4.9499998089999995","5.210000038","2018-08-29","48.84999847","48.25","47.67499924","48.09999847","2018-08-29","311.85000610000003","310.269989","303.69000239999997","305.01000980000003","2018-08-29","10.39999962","10.39000034","10.30000019","10.35999966","2018-08-29","37.5","36.70999908","36.70999908","37.22999954","2018-08-29","15.73999977","15.52000046","15.5","15.5","2018-08-29","0.059999999000000005","0.055","0.050999999000000004","0.050999999000000004","2018-08-29","0.319999993","0.319999993","0.280000001","0.300000012","2018-08-29","4.703999996","4.683000088","4.340000153","4.5079998969999995","2018-08-29","0.50999999","0.5","0.419999987","0.43999999799999995","2018-08-29","10.25","10.0","10.0","10.0"
"2018-08-30","5.3249998089999995","5.25","5.224999905","5.3000001910000005","2018-08-30","13.5","13.46000004","13.01000023","13.10000038","2018-08-30","15.18000031","14.80000019","14.07999992","14.18000031","2018-08-30","20.63999939","20.46999931","20.37000084","20.46999931","2018-08-30","53.20999908","52.77000046","52.11000061","52.15999985","2018-08-30","7.059999942999999","7.059999942999999","6.670000076","6.739999771","2018-08-30","13.64999962","13.48999977","12.97000027","12.97000027","2018-08-30","5.349999905","5.28000021","4.6999998089999995","4.710000038","2018-08-30","48.54000092","48.15000153","47.54999924","47.90000153","2018-08-30","304.60000610000003","302.26000980000003","297.7200012","303.14999389999997","2018-08-30","10.43999958","10.35000038","10.32999992","10.39000034","2018-08-30","37.06999969","37.04000092","34.90999985","35.13000107","2018-08-30","15.72999954","15.52000046","15.5","15.5","2018-08-30","0.07","0.07","0.050000000999999995","0.059999999000000005","2018-08-30","0.319999993","0.319999993","0.25","0.280000001","2018-08-30","4.585000038","4.409999847","4.340000153","4.409999847","2018-08-30","0.43999999799999995","0.43999999799999995","0.389999986","0.400000006","2018-08-30","10.0","9.949999809","9.75","10.0"
"2018-08-31","5.400000095","5.3000001910000005","5.25","5.25","2018-08-31","13.36999989","13.05000019","13.02000046","13.11999989","2018-08-31","14.39000034","14.13000011","14.13000011","14.35999966","2018-08-31","20.67000008","20.46999931","20.29000092","20.37999916","2018-08-31","52.40999985","52.00999832","51.65000153","52.08000183","2018-08-31","6.75","6.7100000379999996","6.6199998860000004","6.71999979","2018-08-31","13.13000011","13.01000023","12.77000046","13.13000011","2018-08-31","4.909999847","4.690000057","4.610000134","4.889999866","2018-08-31","48.15000153","47.65000153","46.65000153","47.95000076","2018-08-31","305.30999760000003","302.0","298.60000610000003","301.6600037","2018-08-31","10.46000004","10.36999989","10.27999973","10.35000038","2018-08-31","35.75","35.04999924","34.49000168","35.66999817","2018-08-31","15.61999989","15.5","15.35000038","15.61999989","2018-08-31","0.160300002","0.064999998","0.0625","0.13420000699999998","2018-08-31","0.360000014","0.280000001","0.280000001","0.280000001","2018-08-31","4.822999954","4.409999847","4.340000153","4.822999954","2018-08-31","0.430000007","0.40999999600000003","0.400000006","0.430000007","2018-08-31","10.0","10.0","9.75","9.75"
"2018-09-04","5.3000001910000005","5.25","5.150000095","5.1999998089999995","2018-09-04","13.32999992","13.10000038","12.72000027","12.77999973","2018-09-04","14.56000042","14.35999966","14.25","14.51000023","2018-09-04","20.45000076","20.35000038","20.04000092","20.14999962","2018-09-04","52.22000122","51.95999908","51.06999969","51.31000137","2018-09-04","6.760000229","6.75","6.5399999620000004","6.71999979","2018-09-04","13.30000019","13.05000019","12.86999989","13.18000031","2018-09-04","4.960000038","4.860000134","4.760000229","4.889999866","2018-09-04","48.18999863","47.5","46.59999847","47.90000153","2018-09-04","298.19000239999997","296.94000239999997","288.0","288.9500122","2018-09-04","10.35000038","10.27000046","10.14000034","10.15999985","2018-09-04","35.88000107","35.40000153","34.5","35.84000015","2018-09-04","15.56999969","15.5","15.25","15.25","2018-09-04","0.289999992","0.180000007","0.14000000099999999","0.22499999399999998","2018-09-04","0.319999993","0.25","0.25","0.25","2018-09-04","4.900000095","4.900000095","4.5500001910000005","4.6199998860000004","2018-09-04","0.44999998799999996","0.43999999799999995","0.419999987","0.44999998799999996","2018-09-04","10.0","9.75","9.75","9.899999618999999"
"2018-09-05","5.224999905","5.1999998089999995","5.099999905","5.150000095","2018-09-05","12.78999996","12.76000023","12.18000031","12.64000034","2018-09-05","14.43999958","14.43999958","14.02999973","14.42000008","2018-09-05","20.18000031","20.13999939","19.59000015","20.15999985","2018-09-05","51.47000122","51.27000046","50.31000137","51.25999832","2018-09-05","6.730000018999999","6.7100000379999996","6.53000021","6.7100000379999996","2018-09-05","13.30000019","13.19999981","12.89999962","12.93000031","2018-09-05","4.889999866","4.889999866","4.53000021","4.610000134","2018-09-05","47.84999847","47.70000076","45.84999847","47.29999924","2018-09-05","286.7799988","285.0499878","277.17999269999996","280.73999019999997","2018-09-05","10.34000015","10.15999985","10.10999966","10.31999969","2018-09-05","35.72999954","35.65000153","33.06999969","33.09000015","2018-09-05","15.43000031","15.25","15.25","15.25","2018-09-05","0.289999992","0.25","0.135000005","0.189999998","2018-09-05","0.300000012","0.25","0.25","0.300000012","2018-09-05","4.724999905","4.5500001910000005","4.480000018999999","4.480000018999999","2018-09-05","0.44999998799999996","0.43999999799999995","0.419999987","0.430000007","2018-09-05","10.0","10.0","9.75","10.0"
"2018-09-06","5.170000076","5.150000095","4.8000001910000005","5.0500001910000005","2018-09-06","12.71000004","12.71000004","12.24499989","12.32999992","2018-09-06","14.48999977","14.38000011","14.17000008","14.31999969","2018-09-06","20.34000015","20.22999954","19.95000076","20.15999985","2018-09-06","51.59000015","51.25999832","49.45000076","50.15000153","2018-09-06","6.760000229","6.690000057000001","6.5","6.53000021","2018-09-06","13.14999962","12.90999985","12.26000023","12.31999969","2018-09-06","4.679999828","4.610000134","4.3800001139999996","4.429999828","2018-09-06","47.29999924","47.04999924","45.54999924","45.54999924","2018-09-06","291.17001339999996","284.7999878","278.88000489999996","280.9500122","2018-09-06","10.60999966","10.31000042","10.31000042","10.57999992","2018-09-06","33.86999893","33.00999832","31.75","33.33000183","2018-09-06","15.22000027","15.0","15.0","15.22000027","2018-09-06","0.19300000399999998","0.189999998","0.126000002","0.127000004","2018-09-06","0.280000001","0.25","0.25","0.280000001","2018-09-06","4.571000099","4.480000018999999","4.480000018999999","4.571000099","2018-09-06","0.430000007","0.430000007","0.419999987","0.419999987","2018-09-06","10.0","10.0","9.75","10.0"
"2018-09-07","5.0500001910000005","4.9499998089999995","4.900000095","5.0","2018-09-07","12.52000046","12.25","12.18000031","12.26000023","2018-09-07","14.67000008","14.31000042","14.23999977","14.64999962","2018-09-07","20.14999962","20.14999962","19.5","19.60000038","2018-09-07","50.02999878","49.95000076","48.36999893","48.50999832","2018-09-07","6.6300001139999996","6.6300001139999996","6.360000134","6.3699998860000004","2018-09-07","12.59000015","12.34000015","11.86999989","12.31000042","2018-09-07","4.679999828","4.400000095","4.349999905","4.4499998089999995","2018-09-07","45.45000076","45.25","42.54999924","42.70000076","2018-09-07","268.3500061","260.1000061","252.25","263.23999019999997","2018-09-07","10.55000019","10.51000023","10.21000004","10.35000038","2018-09-07","33.15000153","33.0","30.86000061","31.04999924","2018-09-07","15.10000038","15.0","14.71000004","14.71000004","2018-09-07","0.144999996","0.14049999400000002","0.09000000400000001","0.109999999","2018-09-07","0.300000012","0.25","0.25","0.280000001","2018-09-07","4.900000095","4.571000099","4.480000018999999","4.879000187","2018-09-07","0.43999999799999995","0.43999999799999995","0.419999987","0.430000007","2018-09-07","10.19999981","10.0","9.899999618999999","10.0"
"2018-09-10","5.1999998089999995","4.9499998089999995","4.900000095","5.1999998089999995","2018-09-10","12.26500034","12.26000023","11.90999985","11.94999981","2018-09-10","14.85999966","14.67000008","14.43000031","14.68999958","2018-09-10","19.95000076","19.71999931","19.59000015","19.63999939","2018-09-10","48.95999908","48.86000061","48.13999939","48.15999985","2018-09-10","6.510000229","6.400000095","6.3800001139999996","6.4600000379999996","2018-09-10","12.46000004","12.46000004","12.01000023","12.18999958","2018-09-10","4.510000229","4.460000038","4.3800001139999996","4.420000076","2018-09-10","43.45000076","42.84999847","41.09999847","42.25","2018-09-10","286.0299988","273.26000980000003","271.0","285.5","2018-09-10","10.47000027","10.46000004","10.35000038","10.43000031","2018-09-10","31.45999908","31.45999908","30.21999931","31.28000069","2018-09-10","14.77999973","14.77999973","14.60000038","14.60000038","2018-09-10","0.119999997","0.10899999699999999","0.09799999699999999","0.109999999","2018-09-10","0.300000012","0.25","0.25","0.25","2018-09-10","4.829999924","4.829999924","3.940999985","4.235000134","2018-09-10","0.40999999600000003","0.400000006","0.370000005","0.379999995","2018-09-10","10.14999962","10.14999962","9.5","10.0"
"2018-09-11","5.150000095","5.099999905","4.900000095","5.0500001910000005","2018-09-11","13.36999989","12.88000011","12.47999954","12.69999981","2018-09-11","14.80000019","14.63000011","14.5","14.72000027","2018-09-11","20.13999939","19.71999931","19.70999908","20.11000061","2018-09-11","48.65000153","48.0","47.59000015","48.45000076","2018-09-11","6.920000076","6.409999847000001","6.3699998860000004","6.8800001139999996","2018-09-11","12.72000027","12.18999958","12.09000015","12.48999977","2018-09-11","4.579999924","4.420000076","4.409999847","4.46999979","2018-09-11","43.29999924","42.09999847","41.70000076","43.04999924","2018-09-11","282.0","279.4700012","273.5499878","279.44000239999997","2018-09-11","10.47000027","10.43999958","10.35000038","10.36999989","2018-09-11","32.40999985","31.13999939","30.72999954","31.71999931","2018-09-11","14.97000027","14.78600025","14.60000038","14.97000027","2018-09-11","0.11500000199999999","0.112000003","0.079999998","0.09000000400000001","2018-09-11","0.300000012","0.25","0.25","0.27000001100000004","2018-09-11","4.480000018999999","4.269999981000001","3.976000071","4.269999981000001","2018-09-11","0.400000006","0.400000006","0.370000005","0.389999986","2018-09-11","10.0","10.0","9.5","10.0"
"2018-09-12","5.099999905","5.099999905","4.8000001910000005","4.9499998089999995","2018-09-12","13.19999981","12.60999966","12.60999966","13.10000038","2018-09-12","15.0","14.64999962","14.52999973","14.93999958","2018-09-12","20.36000061","20.11000061","20.10000038","20.26000023","2018-09-12","48.95000076","48.31000137","47.66999817","48.90000153","2018-09-12","6.9499998089999995","6.8800001139999996","6.6999998089999995","6.860000134","2018-09-12","12.84000015","12.39000034","12.18000031","12.84000015","2018-09-12","4.519999981000001","4.489999771","4.329999924","4.409999847","2018-09-12","43.5","43.15000153","42.65000153","43.29999924","2018-09-12","292.5","281.44000239999997","278.64999389999997","290.5400085","2018-09-12","10.60000038","10.38000011","10.38000011","10.53999996","2018-09-12","31.81999969","31.31999969","31.0","31.11000061","2018-09-12","14.89999962","14.85999966","14.60000038","14.82999992","2018-09-12","0.109999999","0.08749999900000001","0.079999998","0.09000000400000001","2018-09-12","0.25999999","0.25","0.25","0.25","2018-09-12","4.738999843999999","4.340000153","4.011000156000001","4.059999943","2018-09-12","0.389999986","0.389999986","0.370000005","0.370000005","2018-09-12","10.0","10.0","9.75","10.0"
